status   Processor cycles   PC     Instruction            R2         R3        R4         R5         R6         R7         R8 
running           1          0   orhi r2, r0,(0)          0          0          0          0          0          0          0 
running           2          0   orhi r2, r0,(0)          0          0          0          0          0          0          0 
running           3          4   ori r2, r2,(8)           0          0          0          0          0          0          0 
running           4          4   ori r2, r2,(8)           0          0          0          0          0          0          0 
running           5          4   ori r2, r2,(8)           0          0          0          0          0          0          0 
running           6          4   ori r2, r2,(8)           0          0          0          0          0          0          0 
running           7          8   orhi r3, r0,(0)          0          0          0          0          0          0          0 
running           8         12   ori r3, r3,(32)          0          0          0          0          0          0          0 
running           9         12   ori r3, r3,(32)          0          0          0          0          0          0          0 
running          10         12   ori r3, r3,(32)          8          0          0          0          0          0          0 
running          11         12   ori r3, r3,(32)          8          0          0          0          0          0          0 
running          12         16   orhi r4, r0,(0)          8          0          0          0          0          0          0 
running          13         20   ori r4, r0,(6)           8          0          0          0          0          0          0 
running          14         20   ori r4, r0,(6)           8          0          0          0          0          0          0 
running          15         20   ori r4, r0,(6)           8         32          0          0          0          0          0 
running          16         20   ori r4, r0,(6)           8         32          0          0          0          0          0 
running          17         24   ldw r4, 0(r4)            8         32          0          0          0          0          0 
running          18         24   ldw r4, 0(r4)            8         32          0          0          0          0          0 
running          19         24   ldw r4, 0(r4)            8         32          0          0          0          0          0 
running          20         24   ldw r4, 0(r4)            8         32          4          0          0          0          0 
running          21         28   add r5, r0, r0           8         32          4          0          0          0          0 
running          22         32 Loop:ldw r6, 0(r2)         8         32          4          0          0          0          0 
running          23         36   ldw r7, 0(r3))           8         32          4          0          0          0          0 
running          24         40  mul r8, r6, r7            8         32          6          0          0          0          0 
running          25         40  mul r8, r6, r7            8         32          6          0          0          0          0 
running          26         40  mul r8, r6, r7            8         32          6          0          5          0          0 
running          27         40  mul r8, r6, r7            8         32          6          0          5          2          0 
running          28         44  add r5, r5, r8            8         32          6          0          5          2          0 
running          29         48  addi r2, r2, 4            8         32          6          0          5          2          0
running          30         52  addi r3, r3, 4            8         32          6          0          5          2          0
running          31         56  addi r4, r4, -1           8         32          6          0          5          2         10 
running          32         60  blt r0, r4, Loop          8         32          6          0          5          2         10 
running          33         32 Loop:ldw r6, 0(r2)        12         32          6          0          5          2         10 
running          34         36   ldw r7, 0(r3))          12         36          6          0          5          2         10 
running          35         40  mul r8, r6, r7           12         36          5          0          5          2         10 
running          36         40  mul r8, r6, r7           12         36          5          0          5          2         10 
running          37         40  mul r8, r6, r7           12         36          5          0          3          2         10 
running          38         40  mul r8, r6, r7           12         36          5          0          3         14         10 
running          39         44  add r5, r5, r8           12         36          5          0          3         14         10 
running          40         48  addi r2, r2, 4           12         36          5          0          3         14         10
running          41         52  addi r3, r3, 4           12         36          5          0          3         14         10
running          42         56  addi r4, r4, -1          12         36          5          0          3         14         42 
running          43         60  blt r0, r4, Loop         12         36          5         10          3         14         42 
running          44         32 Loop:ldw r6, 0(r2)        16         36          5         10          3         14         42 
running          45         36   ldw r7, 0(r3))          16         40          5         10          3         14         42 
running          46         40  mul r8, r6, r7           16         40          4         10          3         14         42 
running          47         40  mul r8, r6, r7           16         40          4         10          3         14         42 
running          48         40  mul r8, r6, r7           16         40          4         10          6         14         42 
running          49         40  mul r8, r6, r7           16         40          4         10          6          3         42 
running          50         44  add r5, r5, r8           16         40          4         10          6          3         42 
running          51         48  addi r2, r2, 4           16         40          4         10          6          3         42
running          52         52  addi r3, r3, 4           16         40          4         10          6          3         42
running          53         56  addi r4, r4, -1          16         40          4         10          6          3         18 
running          54         60  blt r0, r4, Loop         16         40          4         52          6          3         18 
running          55         32 Loop:ldw r6, 0(r2)        20         40          4         52          6          3         18 
running          56         36   ldw r7, 0(r3))          20         44          4         52          6          3         18 
running          57         40  mul r8, r6, r7           20         44          3         52          6          3         18 
running          58         40  mul r8, r6, r7           20         44          3         52          6          3         18 
running          59         40  mul r8, r6, r7           20         44          3         52         19          3         18 
running          60         40  mul r8, r6, r7           20         44          3         52         19          2         18 
running          61         44  add r5, r5, r8           20         44          3         52         19          2         18 
running          62         48  addi r2, r2, 4           20         44          3         52         19          2         18
running          63         52  addi r3, r3, 4           20         44          3         52         19          2         18
running          64         56  addi r4, r4, -1          20         44          3         52         19          2         38 
running          65         60  blt r0, r4, Loop         20         44          3         70         19          2         38 
running          66         32 Loop:ldw r6, 0(r2)        24         44          3         70         19          2         38 
running          67         36   ldw r7, 0(r3))          24         48          3         70         19          2         38 
running          68         40  mul r8, r6, r7           24         48          2         70         19          2         38 
running          69         40  mul r8, r6, r7           24         48          2         70         19          2         38 
running          70         40  mul r8, r6, r7           24         48          2         70          8          2         38 
running          71         40  mul r8, r6, r7           24         48          2         70          8          5         38 
running          72         44  add r5, r5, r8           24         48          2         70          8          5         38 
running          73         48  addi r2, r2, 4           24         48          2         70          8          5         38
running          74         52  addi r3, r3, 4           24         48          2         70          8          5         38
running          75         56  addi r4, r4, -1          24         48          2         70          8          5         40 
running          76         60  blt r0, r4, Loop         24         48          2        108          8          5         40 
running          77         32 Loop:ldw r6, 0(r2)        28         48          2        108          8          5         40 
running          78         36   ldw r7, 0(r3))          28         52          2        108          8          5         40 
running          79         40  mul r8, r6, r7           28         52          1        108          8          5         40 
running          80         40  mul r8, r6, r7           28         52          1        108          8          5         40 
running          81         40  mul r8, r6, r7           28         52          1        108         12          5         40 
running          82         40  mul r8, r6, r7           28         52          1        108         12         36         40 
running          83         44  add r5, r5, r8           28         52          1        108         12         36         40 
running          84         48  addi r2, r2, 4           28         52          1        108         12         36         40
running          85         52  addi r3, r3, 4           28         52          1        108         12         36         40
running          86         56  addi r4, r4, -1          28         52          1        108         12         36        432 
running          87         60  blt r0, r4, Loop         28         52          1        148         12         36        432 
running          88         32 Loop:ldw r6, 0(r2)        32         52          1        148         12         36        432 
running          89         36   ldw r7, 0(r3))          32         56          1        148         12         36        432 
running          90         40  mul r8, r6, r7           32         56          0        148         12         36        432 
running          91         40  mul r8, r6, r7           32         56          0        148         12         36        432 
running          92         40  mul r8, r6, r7           32         56          0        148          2         36        432 
running          93         40  mul r8, r6, r7           32         56          0        148          2          0        432 
running          94         44  add r5, r5, r8           32         56          0        148          2          0        432 
running          95         48  addi r2, r2, 4           32         56          0        148          2          0        432
running          96         52  addi r3, r3, 4           32         56          0        148          2          0        432
running          97         56  addi r4, r4, -1          32         56          0        148          2          0          0 
running          98         60  blt r0, r4, Loop         32         56          0        580          2          0          0 
running          99         64  stw r5, 0(r0)            36         56          0        580          2          0          0 
running         100         68  stop: br stop            36         60          0        580          2          0          0 
dot product =        580 
simulation finished
running         101         68  stop: br stop            36         60 4294967295        580          2          0          0 
